ModeName,KeyLength,EncTime,DecTime
ECB,16,0:00:01.829101,0:00:01.321432
ECB,24,0:00:01.347108,0:00:01.117645
ECB,32,0:00:01.293119,0:00:01.102100
CFB,16,0:00:04.409666,0:00:02.746064
CFB,24,0:00:04.513495,0:00:02.813660
CFB,32,0:00:04.857611,0:00:03.199802
OFB,16,0:00:03.226981,0:00:01.372738
OFB,24,0:00:03.023185,0:00:01.401307
OFB,32,0:00:03.097731,0:00:01.298722
CBC,16,0:00:03.113040,0:00:01.267116
CBC,24,0:00:03.375396,0:00:01.342413
CBC,32,0:00:03.020897,0:00:01.314377
CTR,16,0:00:02.801859,0:00:01.225890
CTR,24,0:00:02.836423,0:00:01.187877
CTR,32,0:00:02.885688,0:00:01.252646
